,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,9,8,9,10,9,9,8,10,9,9,10,6,6,10,8,10,8,10
1,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
2,10,9,10,10,10,9,9,10,9,9,10,10,9,10,9,9,8,10
3,10,10,9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10
4,10,0,10,10,9,10,0,9,10,9,10,0,0,10,10,10,10,10
5,7,9,10,10,8,8,8,10,9,8,10,10,10,10,10,10,9,10
6,10,9,9,7,10,10,9,8,8,10,10,10,10,0,10,10,10,10
7,10,8,9,10,10,10,9,10,10,10,10,8,9,7,10,10,9,10
8,10,8,10,8,10,9,8,10,8,10,10,10,9,9,10,10,9,10
9,8,8,9,8,8,9,8,10,8,8,10,0,0,10,10,10,10,10
10,9,10,9,9,9,9,10,10,9,9,10,10,9,8,10,9,9,10
11,9,8,10,10,9,8,9,10,10,9,10,9,10,10,10,10,10,10
12,9,10,9,9,8,9,10,10,10,9,10,10,10,10,10,10,10,10
13,9,10,10,9,10,9,9,9,10,10,10,10,9,10,10,10,10,10
14,10,9,10,9,10,10,10,9,10,9,10,0,0,10,10,0,10,10
15,10,10,10,9,9,9,10,10,10,9,10,10,8,10,10,10,10,10
16,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
17,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10
18,10,10,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
19,9,9,10,10,9,10,9,10,10,9,10,9,10,10,10,10,10,10
20,10,10,10,10,10,9,9,10,10,9,10,10,10,10,10,10,10,10
21,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,10,10,10
22,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10
23,9,10,9,10,9,10,10,10,10,10,10,9,10,10,9,10,8,10
24,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25,10,9,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10
26,10,10,9,9,10,10,10,10,10,10,10,9,10,10,10,10,8,10
27,9,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10
28,10,10,9,9,10,10,10,10,10,10,10,8,9,10,10,10,10,10
29,10,9,10,10,10,9,8,10,10,10,10,10,10,10,10,10,10,10
