student_id,c,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,0.687560,0.783598,0.912991,0.931113,0.906234,0.829073,0.900000,0.900000,0.900000,0.900000,0.876565,0.838506,0.971702,0.900922,0.857245,0.920697,0.757011,0.779807,0.925073,0.852099,0.875928,16.642635,k11|k2|k17
1,1.054433,0.875858,0.924863,0.883558,0.887209,0.896145,0.799956,0.850000,0.900000,0.900000,0.903580,0.944826,0.934092,0.939343,0.865981,0.899637,0.943127,0.845781,0.933975,0.803288,0.891117,16.931219,k10|k15|k12
2,0.817081,0.904794,0.849583,0.953751,0.903708,0.932108,0.850000,0.700000,0.633333,0.700000,0.651370,0.610346,0.516836,0.629125,0.820192,0.883364,0.638696,0.754175,0.920220,0.838472,0.773162,14.690074,k2|k4|k17
3,1.031584,0.814144,0.921308,0.908228,0.897661,0.873361,0.850000,0.900000,0.850000,0.900000,0.906033,0.968051,0.904945,0.916888,0.849199,0.869419,0.940445,0.856599,0.927145,0.825000,0.888338,16.878425,k10|k15|k17
4,0.999893,0.903915,0.918016,0.944062,0.945038,0.868513,0.875000,0.900000,0.933333,0.850000,0.933333,0.863194,0.911762,0.919178,0.883343,0.892007,0.911546,0.864829,0.893176,0.831195,0.896918,17.041441,k3|k2|k7
5,1.039462,0.863056,0.880897,0.927085,0.892147,0.871494,0.850000,0.900000,0.900000,0.900000,0.906890,0.920760,0.771885,0.872763,0.867035,0.921411,0.903891,0.856933,0.979982,0.852546,0.886251,16.838775,k17|k2|k14
6,0.796859,0.716541,0.520889,0.815980,0.924123,0.730109,0.900000,0.800023,0.800058,0.400000,0.166062,0.122659,0.195428,0.366947,0.566618,0.631263,0.400000,0.431642,0.239713,0.476799,0.537098,10.204853,k3|k5|k2
7,1.030012,0.881092,0.836300,0.937500,0.911061,0.751151,0.825000,0.900000,0.900000,0.799993,0.833459,0.875463,0.810868,0.852175,0.903854,0.886147,0.769564,0.709554,0.925653,0.850000,0.850465,16.158836,k2|k17|k3
8,1.020232,0.900288,0.876890,0.907987,0.949912,0.871179,0.825000,0.900000,0.900000,0.900000,0.934151,0.958679,0.968057,0.821699,0.823279,0.899784,0.895660,0.853804,0.835775,0.876890,0.889423,16.899034,k11|k10|k3
9,1.044323,0.867686,0.888711,0.883717,0.871987,0.865908,0.800000,0.900000,0.933333,0.800017,0.875722,0.904361,0.878624,0.940465,0.827592,0.942841,0.912272,0.836912,0.914566,0.879587,0.880226,16.724302,k14|k12|k7
10,1.070907,0.920577,0.625267,0.812140,0.741092,0.683049,0.700000,0.400000,0.266667,0.799990,0.800008,0.848024,0.809011,0.684799,0.795444,0.761937,0.657245,0.743052,0.820114,0.843096,0.721658,13.711509,k0|k10|k18
11,0.711558,0.909497,0.698041,0.851076,0.821733,0.687711,0.800000,0.800019,0.800075,0.800019,0.266667,0.166266,0.143203,0.040615,0.482456,0.472676,0.351043,0.657025,0.096627,0.750000,0.557618,10.594748,k0|k2|k3
12,1.062811,0.890016,0.954463,0.916288,0.916842,0.887640,0.875000,0.800065,0.933333,0.799970,0.900000,0.890284,0.835072,0.874588,0.865567,0.878544,0.885083,0.844746,0.883681,0.875968,0.879324,16.707151,k1|k7|k3
13,0.098470,0.827852,0.909509,0.905995,0.871046,0.855062,0.850000,0.900000,0.933333,0.900000,0.883532,0.836537,0.788744,0.689837,0.780011,0.875958,0.772880,0.818744,0.903327,0.899334,0.852721,16.201701,k7|k1|k2
