a,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9
-0.57309735,0.27375665,2.5809298,6.303203,6.844329,6.8588347,7.4000053,8.199761,8.36561,8.947213,9.6236725
-0.6543597,0.44372675,1.5078132,2.1287858,3.6723676,3.9583411,4.4235525,5.215271,5.590105,11.388133,12.190657
-0.76556516,0.08014065,0.5865527,1.1299973,3.521633,3.8188434,6.1497154,7.6414194,7.833478,7.902114,8.326668
-0.60338974,1.9858816,2.6604714,3.5745482,3.986991,4.424232,4.885422,6.226465,7.5989165,8.416696,9.53293
-0.63818634,0.90077394,1.9285073,2.764821,5.391399,6.5330353,6.62976,7.4578524,7.7774916,9.580939,9.724425
-0.681712,0.97099996,1.4811896,3.4341083,3.9337335,4.219455,5.2788386,7.6422167,8.510686,9.076723,11.572175
-0.5667571,2.1879895,2.6152442,3.3477907,3.8419595,4.4147134,4.908449,5.127484,5.87998,6.2615485,6.725051
-0.72428536,0.27989614,0.5752859,2.6727986,3.5461764,4.087132,5.7243943,7.7599163,7.9407682,8.655599,9.350456
-0.68724215,1.3034462,1.7890273,3.0286992,3.3881297,4.0354805,5.761115,6.59433,6.8814073,7.468115,7.8899436
-0.74763817,0.10428308,0.9328612,1.7381033,1.8938025,4.587471,5.678037,7.9969635,9.100134,9.314224,10.641032
-0.6450718,1.3822817,2.178841,3.262702,6.4847493,7.595946,7.906514,8.78817,10.304961,10.499188,11.770419
-0.60813123,0.8349099,1.8390386,2.4125645,4.4340935,4.932546,6.2940893,9.096496,9.566022,10.523822,11.723936
-0.56288886,2.6018343,3.7918606,3.8983426,4.2757664,4.671592,4.915357,5.47664,6.150811,7.5195327,7.9365306
-0.6853023,0.16254914,2.5444999,2.6620395,3.1874871,6.05155,7.2612796,7.5606837,7.890064,8.361385,8.570045
-0.6163566,0.3145672,1.3111637,3.5382314,3.940304,8.605881,8.852856,10.35908,11.279243,12.737572,13.09583
-0.7566976,0.74476767,1.1303111,2.2161846,3.383761,5.0205703,5.5592837,7.901085,8.187616,9.632223,10.571969
-0.7111506,0.9420766,2.5049043,3.7826633,4.129402,5.1902366,5.616103,6.243699,6.448201,7.075127,9.343558
-0.71621835,1.4719753,2.451397,3.2874684,4.079774,5.096048,5.626594,5.941304,7.2333083,8.242798,8.281559
