,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,8.5,8,9,9.5,9.5,8.5,9,9,10,9,8,8,9,10,10,10,10,10,10,10,9,10,10,9,9,9,9,9,10,8,10,10,10,9,7,10,10,9,9,10,7,7,8,8,10,8,9.5,10,10,10,10,10,9,9,9,10,8.5,10,10,10,8.5,8.5,10,10,6,6,0,0
1,9.5,9,8.5,8,10,9,9,10,10,8,9,9,8,10,10,10,9,10,9,10,9,10,10,9.5,8.5,9.5,9.5,9.5,10,9,10,9,10,10,9,10,10,9,10,10,10,10,10,9,8.5,10,8.5,9,10,10,9,10,9.5,8.5,9.5,9.5,9,8.5,10,10,8.5,8.5,10,10,10,10,10,10
2,10,8.5,8.5,10,8.5,7,9.5,9,10,9.5,9.5,9.5,9.5,10,10,10,9,9,6,6,5,6,5,6,6,6,5,5,6,5,6,6,6,6,5,7,7,7,6,7,6,5,5,6,9.5,6,6,10,10,10,10,9,9.5,9.5,8.5,8.5,8.5,9.5,9,9,9,9,0,0,8,8,8,6
3,8,9,9.5,9,9.5,9.5,9,10,10,9,9,9,8,9,10,9,10,9,10,9,10,10,10,9,10,9,10,10,9,9,10,9,9,10,9,9.5,8.5,9.5,9.5,9.5,10,10,10,10,8.5,9,10,10,10,10,9,10,9.5,9.5,9.5,9.5,8.5,9.5,9,9,8.5,8.5,10,10,10,10,10,10
4,10,10,9.5,10,9.5,8.5,10,9.5,9.5,10,10,10,10,9.5,9.5,9.5,9.5,9.5,10,10,10,9,10,10,10,9,10,10,9,9,8,9,9,9,10,10,10,9,10,9,9,10,10,9,9.5,10,9,8,8,8,9,8,9.5,8.5,9.5,9.5,8.5,9.5,9,9,8.5,8.5,10,10,10,10,10,7
5,7.5,9,10,10,9.5,8,10,8,8,10,9,10,10,9,9,9,9,9,10,10,9,10,10,9,9,8,9,9,8,10,8,8,7,8,9,8.5,9.5,9.5,8.5,8.5,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8.5,10,9,9,8.5,8.5,10,10,10,10,10,10
6,9.5,9,0,0,0,7.5,9,10,10,9,9,9,8,10,10,10,10,10,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,0,10,0,0,0,0,-1,0,0,0,0,-1,0,10,10,8,8,0,0,0,0,0,0
7,8,10,9,7.5,9,9,10,9.5,9.5,10,10,10,10,9.5,9.5,9.5,9.5,8.5,10,10,10,10,10,8.5,8.5,7.5,8.5,7.5,9,6,10,10,9,10,5,9.5,9.5,9.5,9.5,9.5,6,6,6,6,9,6,8.5,10,10,10,10,10,9,9,8,9,9,8,10,10,8,8,10,10,10,10,7,10
8,9.5,10,9,8.5,10,8.5,10,9.5,8.5,9,10,10,10,9.5,9.5,9.5,9.5,8.5,10,9,10,10,10,10,9,10,10,10,10,10,10,9,10,9,10,7.5,8.5,8.5,8.5,7.5,10,10,9,9,9,9,10,9,9,10,10,9,9,9,8,9,10,8,10,10,8.5,8.5,10,10,10,10,10,10
9,9,9,9,9.5,10,8,9,9,9,9,9,9,8,9,9,9,9,8,10,10,10,10,10,8.5,8.5,9.5,9.5,9.5,7,10,7,8,8,8,10,9,9,9,10,10,9,10,10,9,10,9,9,9,9,9,9,9,10,9,10,9,9,10,9,9,8.5,8.5,10,10,10,10,10,10
10,6,10,7,6,9.5,6,10,5,5,9,10,9,10,5,5,6,6,6,0,0,0,-1,0,7,8,8,8,8,8,6,8,8,8,8,5,7,7,7,7,7,5,5,6,6,7,6,8,9.5,9.5,9.5,9.5,9.5,7,7,7,7,9.5,7,8,8,9,9,10,10,9,9,9,10
11,8,10,0,6,7,5,9,8,9,10,10,10,10,8,9,8,9,8,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,-1,7,-1,9,9,8,8,0,0,0,0,0,0
12,9.5,10,8,10,10,10,9,9.5,9.5,10,10,9,10,9.5,9.5,9.5,8.5,9.5,9,10,10,10,10,10,9,9,10,10,8.5,8,8.5,7.5,8.5,8.5,9,9.5,9.5,9.5,9.5,8.5,9,9,8,9,9,8,10,9.5,9.5,9.5,9.5,9.5,9,9,9,8,10,8,10,10,10,10,10,10,10,10,10,8.5
13,8,8.5,9,9,9.5,9,8.5,10,10,8.5,8.5,8.5,8.5,10,10,9,9,9,10,10,10,10,10,8.5,8.5,8.5,8.5,8.5,7.5,7,8.5,8.5,8.5,8.5,8,7,7,6,7,7,8,8,8,8,10,8,6,9,9,9,9,8,10,9,10,10,9.5,10,0,0,0,0,0,0,0,0,0,0
14,8,9.5,10,8.5,6,8.5,9.5,7,8,9.5,9.5,8.5,9.5,8,7,7,7,7,8.5,9.5,9.5,8.5,8.5,9,9,10,10,10,7,10,7,8,8,7,10,9,9,8,9,9,10,9,9,10,10,9,9,9,9,10,9,10,10,10,10,9,6,10,10,10,9,9,9,9,9,9,8,0
15,9,9,8.5,8,8.5,10,10,8.5,9.5,10,10,10,10,8.5,9.5,8.5,9.5,8.5,10,9,10,10,10,10,10,10,10,9,9.5,9,8.5,9.5,9.5,9.5,10,9,8,8,9,9,10,10,10,10,8.5,10,9,8,9,9,9,9,8.5,8.5,8.5,8.5,9.5,8.5,9,9,9,9,10,10,10,10,10,10
16,8,10,6,8,10,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,9,10,9,9.5,9.5,9.5,9.5,9.5,8.5,10,9.5,9.5,9.5,9.5,10,10,10,10,9,9,10,10,10,10,7,9,10,9,8,9,9,8,7,7,7,7,9,7,10,10,8.5,8.5,10,10,10,10,10,10
17,7.5,9,9.5,9,10,10,9,10,10,8,9,9,9,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10,9,9,9,9,9,9,8,9,9,9,8,10,10,10,9,9.5,10,8.5,9,8,9,9,9,9.5,9.5,9.5,8.5,10,9.5,10,10,9.5,9.5,10,10,9.5,9.5,10,10
18,8.5,-1,0,9,9,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,10,-1,10,10,8,8,10,10,0,0,0,0
19,6,9,-1,9,8.5,9,10,-1,0,10,10,10,9,0,-1,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,9.5,-1,10,10,0,0,0,0,0,0,0,0
20,8.5,10,0,9,10,8.5,9,9.5,9.5,10,9,10,9,9.5,9.5,8.5,8.5,9.5,9,10,10,9,10,9,10,9,10,10,8.5,0,8.5,8.5,9.5,8.5,0,7,7,6,7,6,-1,-1,0,-1,0,-1,8.5,-1,0,0,0,0,0,0,0,-1,10,0,9,9,8,8,0,0,0,0,0,0
21,9,9,8.5,9,10,7.5,8,10,10,9,9,9,8,10,10,10,9,10,10,9,10,10,10,9,8,9,9,8,7,8,8,8,8,8,7,7,6,6,7,6,8,8,8,8,8.5,7,10,9,8,9,9,9,8.5,9.5,8.5,8.5,10,8.5,9,9,8,8,0,0,0,0,0,10
22,9,-1,-1,9.5,7,8,0,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0,6,0,9,9,8,8,0,0,0,0,0,0
23,9.5,10,0,10,0,6,10,9.5,9.5,10,9,9,9,9.5,8.5,9.5,9.5,9.5,9.5,8.5,9.5,8.5,8.5,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,7,6,7,7,7,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,-1,9,9,8,8,10,10,6,6,10,0
24,9,10,8.5,9.5,9.5,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,10,10,10,8,8,9,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,8.5,10,8.5,9.5,9.5,8.5,9.5,9.5,8.5,8.5,9.5,9.5,8.5,9.5,10,10,8.5,8.5,10,10,10,10,10,10
