student_id,global_trait,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,0.687560,0.783598,0.912991,0.931113,0.906234,0.829073,0.900000,0.900000,0.900000,0.900000,0.876565,0.838506,0.971702,0.900920,0.857251,0.920698,0.757011,0.779810,0.925073,0.852099,0.875929,16.642643,k11|k2|k17
1,1.000000,0.889516,0.929445,0.898249,0.885917,0.911483,0.799965,0.850000,0.900000,0.900000,0.903311,0.958262,0.942006,0.940282,0.875425,0.920090,0.943055,0.856604,0.929261,0.800349,0.896485,17.033221,k10|k15|k11
2,0.817081,0.904794,0.849583,0.953751,0.903708,0.932108,0.850000,0.700000,0.633333,0.700000,0.651370,0.610346,0.516836,0.629125,0.820191,0.883364,0.638696,0.754175,0.920220,0.838472,0.773162,14.690073,k2|k4|k17
3,1.000000,0.835941,0.920640,0.914242,0.898547,0.876551,0.850000,0.900000,0.850000,0.900000,0.905826,0.973317,0.909162,0.919025,0.853004,0.876826,0.940139,0.864634,0.925073,0.825000,0.891470,16.937926,k10|k15|k17
4,0.999893,0.903915,0.918016,0.944062,0.945038,0.868512,0.875000,0.900000,0.933333,0.850000,0.933333,0.863194,0.911762,0.919180,0.883339,0.892006,0.911546,0.864828,0.893176,0.831188,0.896917,17.041429,k3|k2|k9
5,1.000000,0.873162,0.884439,0.930127,0.894846,0.877503,0.850000,0.900000,0.900000,0.900000,0.906853,0.930630,0.767885,0.873950,0.873820,0.930317,0.903721,0.865954,0.977986,0.852208,0.889126,16.893400,k17|k10|k14
6,0.796863,0.716540,0.520890,0.815979,0.924123,0.730102,0.900000,0.800009,0.800009,0.400000,0.166062,0.122658,0.195428,0.366971,0.566596,0.631276,0.400000,0.431615,0.239714,0.476801,0.537093,10.204772,k3|k5|k2
7,1.000000,0.890183,0.838201,0.944804,0.912678,0.764619,0.825000,0.900000,0.900000,0.799993,0.833296,0.880840,0.813321,0.853607,0.908003,0.889071,0.769278,0.709272,0.922910,0.850000,0.852899,16.205076,k2|k17|k3
8,1.000000,0.905821,0.876518,0.911337,0.950949,0.874323,0.825000,0.900000,0.900000,0.900000,0.934148,0.964120,0.970398,0.822886,0.825497,0.904405,0.895423,0.859120,0.832523,0.876518,0.890999,16.928986,k11|k10|k3
9,1.000000,0.882286,0.890798,0.896279,0.873981,0.877041,0.800000,0.900000,0.933333,0.800009,0.875432,0.912461,0.882890,0.943188,0.835262,0.952684,0.912062,0.849465,0.912742,0.878191,0.884637,16.808105,k14|k12|k7
10,1.000000,0.956343,0.629927,0.824684,0.743782,0.689987,0.700000,0.400000,0.266667,0.799990,0.800008,0.860187,0.815044,0.687858,0.803395,0.767580,0.656905,0.742432,0.814960,0.841702,0.726392,13.801450,k0|k10|k18
11,0.711568,0.909495,0.698041,0.851075,0.821733,0.687678,0.800000,0.800009,0.800009,0.800009,0.266667,0.166264,0.143202,0.040621,0.482448,0.472664,0.351042,0.657006,0.096627,0.750000,0.557610,10.594589,k0|k2|k3
12,1.000000,0.910354,0.958779,0.931632,0.920067,0.903450,0.875000,0.800009,0.933333,0.799970,0.900000,0.910625,0.826709,0.877873,0.875929,0.891801,0.884426,0.861635,0.877992,0.874263,0.884939,16.813847,k1|k7|k2
13,0.098470,0.827852,0.909509,0.905995,0.871046,0.855062,0.850000,0.900000,0.933333,0.900000,0.883532,0.836537,0.788744,0.689837,0.780010,0.875958,0.772880,0.818744,0.903327,0.899334,0.852721,16.201701,k7|k1|k2
