student_id,global_trait,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,nan,0.937214,0.323565,0.740148,0.306436,0.821156,0.162822,0.151680,0.108312,0.096164,0.135059,0.772565,0.116705,0.164629,0.211932,0.138419,0.247121,0.239377,0.092322,0.098277,0.308626,5.863903,k0|k4|k10
1,nan,0.343053,0.227018,0.142074,0.174916,0.236469,0.420812,0.153035,0.025385,0.151744,0.321812,0.214749,0.040993,0.152162,0.149883,0.150445,0.174059,0.135883,0.135598,0.390852,0.196892,3.740941,k5|k18|k0
2,nan,0.078262,0.134658,0.249316,0.460673,0.144387,0.092250,0.093254,0.920256,0.035281,0.927832,0.968478,0.698187,0.697106,0.126188,0.158543,0.512480,0.108935,0.097128,0.245841,0.355213,6.749055,k10|k9|k7
3,nan,0.064932,0.090734,0.083305,0.149602,0.123439,0.037655,0.160925,0.094642,0.191047,0.116759,0.163389,0.085239,0.075389,0.072836,0.246073,0.194351,0.128604,0.249782,0.135083,0.129673,2.463786,k17|k14|k15
4,nan,0.151655,0.151683,0.047107,0.029794,0.126559,0.206601,0.218516,0.105894,0.109733,0.238782,0.224905,0.194213,0.325619,0.086090,0.202832,0.085852,0.115690,0.131206,0.278577,0.159542,3.031306,k12|k18|k9
5,nan,0.187241,0.058916,0.146247,0.164746,0.126954,0.117290,0.103320,0.110501,0.045933,0.069978,0.183870,0.119410,0.041494,0.218373,0.185482,0.130298,0.365603,0.160395,0.253923,0.146841,2.789974,k16|k18|k13
6,nan,0.967843,0.280662,0.984581,0.099278,0.928612,0.089592,0.770883,0.594210,0.885328,0.964388,0.918906,0.961294,0.973584,0.845851,0.961608,0.939214,0.943184,0.913312,0.888267,0.784768,14.910594,k2|k12|k0
7,nan,0.196871,0.175457,0.293038,0.078748,0.113575,0.275607,0.199121,0.133433,0.543049,0.139666,0.215380,0.170728,0.064593,0.183815,0.178434,0.132099,0.191711,0.265642,0.376052,0.206685,3.927019,k8|k18|k2
8,nan,0.075438,0.124545,0.250399,0.076964,0.385187,0.198126,0.056321,0.044689,0.225265,0.259654,0.107916,0.080980,0.230925,0.112153,0.227824,0.217164,0.176683,0.216978,0.139836,0.168792,3.207047,k4|k9|k2
9,nan,0.150999,0.309964,0.143723,0.226249,0.143524,0.203747,0.180158,0.073594,0.424647,0.093665,0.146506,0.145073,0.211283,0.041569,0.092698,0.068338,0.171641,0.082177,0.198427,0.163578,3.107980,k8|k1|k3
10,nan,0.075288,0.279664,0.184107,0.808993,0.078207,0.272624,0.962994,0.980441,0.729900,0.707640,0.123028,0.098663,0.109123,0.529965,0.063094,0.929882,0.083471,0.101055,0.211869,0.385790,7.330008,k7|k6|k15
11,nan,0.600914,0.378994,0.820391,0.869480,0.981843,0.252428,0.812967,0.811908,0.106452,0.820783,0.934775,0.884617,0.961775,0.937339,0.949150,0.955010,0.965823,0.895907,0.139886,0.741076,14.080441,k4|k16|k12
12,nan,0.211457,0.069175,0.100318,0.069316,0.106158,0.104492,0.190765,0.033575,0.349610,0.106632,0.112131,0.084648,0.339100,0.187143,0.248285,0.103351,0.055486,0.221247,0.282694,0.156610,2.975583,k8|k12|k18
13,nan,0.976042,0.369876,0.823507,0.199442,0.920549,0.105935,0.100923,0.038005,0.148913,0.112944,0.946873,0.175374,0.418493,0.903717,0.967205,0.192006,0.893353,0.081057,0.249709,0.453891,8.623921,k0|k14|k10
14,nan,0.842117,0.195275,0.277738,0.075481,0.212642,0.117591,0.133093,0.104624,0.080191,0.177041,0.454092,0.179442,0.150670,0.166384,0.101673,0.050247,0.406249,0.111481,0.242967,0.214684,4.079000,k0|k10|k16
15,nan,0.218943,0.244004,0.298953,0.088654,0.119183,0.215518,0.226784,0.097193,0.133698,0.134897,0.192111,0.082303,0.241321,0.060845,0.187886,0.109272,0.127518,0.191050,0.131713,0.163255,3.101846,k2|k1|k12
16,nan,0.288987,0.082118,0.113870,0.079846,0.091249,0.048639,0.143379,0.094642,0.261172,0.174997,0.250747,0.047155,0.484464,0.107196,0.091478,0.106862,0.172781,0.091252,0.144105,0.151313,2.874942,k12|k0|k8
17,nan,0.070870,0.206289,0.208993,0.152526,0.300389,0.147630,0.239999,0.190773,0.065959,0.190713,0.277359,0.150850,0.139785,0.081346,0.113378,0.098979,0.120927,0.185651,0.217224,0.166297,3.159638,k4|k10|k6
18,nan,0.878394,0.951385,0.943098,0.874803,0.929323,0.258316,0.940428,0.162158,0.329087,0.935925,0.839704,0.981535,0.950365,0.113893,0.943756,0.910887,0.934533,0.987973,0.630906,0.762972,14.496468,k17|k11|k1
19,nan,0.935866,0.621469,0.937582,0.954313,0.946189,0.852696,0.640741,0.951316,0.386561,0.891470,0.920113,0.973960,0.869416,0.936674,0.980745,0.936248,0.932052,0.973365,0.327456,0.840433,15.968230,k14|k11|k17
20,nan,0.914817,0.100849,0.332626,0.102321,0.753050,0.288183,0.545910,0.057202,0.123266,0.148699,0.978446,0.536001,0.644972,0.950662,0.967785,0.015385,0.631203,0.990778,0.112214,0.483914,9.194370,k17|k10|k14
