student_id,global_trait,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,0.712690,0.858513,0.523502,0.971757,0.513789,0.925786,0.999936,0.777974,0.985426,0.431570,0.498015,0.942460,0.595141,0.990954,0.444836,0.998097,0.120357,0.506428,0.623679,0.937500,0.718196,13.645722,k5|k14|k12
1,-0.791590,0.203451,0.716310,0.369870,0.912422,0.947769,0.525845,0.903053,0.449115,0.849351,0.434400,0.002143,0.142509,0.457681,0.692158,0.432567,0.189484,0.552527,0.002389,0.566327,0.492072,9.349371,k4|k3|k6
2,0.804294,0.658789,0.862202,0.676632,0.973509,0.999970,1.000000,0.999006,0.599128,0.504552,0.854710,0.803573,0.583261,0.656662,0.723286,0.941773,0.078797,0.993597,0.485470,0.560603,0.734501,13.955521,k5|k4|k6
3,0.460319,0.583554,0.021700,0.638692,0.790144,0.984556,0.566627,0.522266,0.619150,0.647167,0.999939,0.572112,0.990099,0.721867,0.760822,0.254204,0.681603,0.317745,0.512545,0.732524,0.627227,11.917317,k9|k11|k4
4,-1.408295,0.045671,0.143278,0.450497,0.001312,0.000001,0.282660,0.026794,0.002100,0.549347,0.080077,0.267483,0.480851,0.004033,0.000002,0.749985,0.380732,0.257760,0.056863,0.000000,0.198918,3.779447,k14|k8|k11
5,-1.138922,0.092379,0.337471,0.025002,0.408153,0.328656,0.062572,0.177400,0.165795,0.421195,0.609611,0.926630,0.040133,0.990217,0.357033,0.143738,0.453603,0.440764,0.282143,0.128138,0.336349,6.390635,k12|k10|k9
6,0.196154,0.152656,0.413839,0.678323,0.249243,0.740225,0.358329,0.149860,0.312180,0.043201,0.794828,0.934194,0.861678,0.508938,0.267743,0.737280,0.903835,0.000469,0.999997,0.456729,0.503345,9.563546,k17|k10|k15
7,-0.279337,0.061409,0.321062,0.240809,0.332876,0.999989,0.607339,0.666266,0.806050,0.049980,0.504391,0.256271,0.549793,0.631604,0.291716,0.413424,0.000023,0.412413,0.510967,1.000000,0.455599,8.656380,k18|k4|k7
8,-0.034894,1.000000,0.496522,0.310257,0.911055,0.998525,0.484649,0.738435,0.631132,0.012881,0.375570,0.861501,0.493227,0.334530,0.289726,0.291753,0.525860,0.670157,0.073380,0.657281,0.534550,10.156442,k0|k4|k3
9,-1.236923,0.002546,0.121436,0.018334,0.295990,0.010416,0.053366,0.001166,0.967374,0.002297,0.202182,0.557716,0.015695,0.080392,0.017523,0.450609,0.000232,0.329401,0.345212,0.127470,0.189440,3.599358,k7|k10|k14
10,0.953849,0.730591,0.533058,0.441955,0.681047,0.651344,0.797658,0.999305,0.620980,0.813293,0.328915,0.448269,0.853998,0.913882,0.755821,0.998626,0.546545,0.001002,0.797528,0.447852,0.650614,12.361669,k6|k14|k12
11,0.124661,0.277659,0.475864,0.000003,0.515939,0.569941,0.997386,0.430016,0.791996,0.511458,0.492302,0.149085,0.393869,0.526265,0.000045,0.493562,0.754082,0.703302,0.999904,0.059957,0.481191,9.142637,k17|k5|k7
12,-0.124875,0.995001,0.226872,0.495474,0.141023,0.671047,0.660187,0.285720,0.018160,0.638299,0.616889,0.110433,0.756969,0.657443,0.806656,0.000016,0.218889,0.411806,0.009109,0.000247,0.406328,7.720239,k0|k13|k11
13,0.435626,0.999935,0.994684,0.516326,0.816176,0.998666,0.612445,0.999989,0.244664,0.916735,0.135697,0.858810,0.518536,0.926661,0.023041,0.462725,0.978017,0.862921,0.986506,0.436951,0.699446,13.289483,k6|k0|k4
14,0.361453,0.385203,0.631351,0.188208,0.582148,0.494161,0.687551,0.965750,0.541632,0.429492,0.999984,0.986092,0.642258,0.837260,0.999999,0.622240,0.521517,0.994604,0.474023,0.210161,0.641770,12.193634,k13|k9|k16
15,-0.872836,0.111416,0.399356,0.411059,0.278528,0.490925,0.007593,0.008743,0.029270,0.014707,0.512388,0.165564,0.420443,0.114690,0.541066,0.879069,0.132500,0.359671,0.074586,0.568847,0.290548,5.520419,k14|k18|k13
