student_id,global_trait,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,0.571989,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,0.639222,12.145218,k18|k8|k1
1,0.411544,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,0.601458,11.427701,k18|k8|k1
2,-0.369814,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,0.408586,7.763134,k18|k8|k1
3,0.284766,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,0.570714,10.843570,k18|k8|k1
4,0.277737,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,0.568991,10.810838,k18|k8|k1
5,1.717131,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,0.847759,16.107420,k18|k8|k1
6,-1.455354,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,0.189179,3.594401,k18|k8|k1
7,0.396079,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,0.597745,11.357158,k18|k8|k1
8,1.355632,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,0.795049,15.105928,k18|k8|k1
9,1.248435,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,0.777029,14.763546,k18|k8|k1
