student_id,c,alpha_k0,alpha_k1,alpha_k2,alpha_k3,alpha_k4,alpha_k5,alpha_k6,alpha_k7,alpha_k8,alpha_k9,alpha_k10,alpha_k11,alpha_k12,alpha_k13,alpha_k14,alpha_k15,alpha_k16,alpha_k17,alpha_k18,alpha_mean,alpha_sum,alpha_topk
0,nan,0.491697,0.685945,0.501481,0.673101,0.430357,0.539052,0.624600,0.678395,0.613283,0.722932,0.501499,0.764251,0.684383,0.647973,0.674317,0.705731,0.598325,0.705765,0.632500,0.625031,11.875586,k11|k9|k17
1,nan,0.630355,0.683520,0.767669,0.677622,0.675804,0.508434,0.646823,0.645770,0.568105,0.698914,0.777268,0.740009,0.610479,0.606600,0.706762,0.623976,0.647563,0.732333,0.594707,0.660143,12.542713,k10|k2|k11
2,nan,0.725694,0.690190,0.740817,0.770623,0.661706,0.571132,0.622441,0.660374,0.605231,0.671357,0.550711,0.524062,0.740726,0.628666,0.633226,0.719897,0.609332,0.751613,0.603051,0.656887,12.480850,k3|k17|k2
3,nan,0.667345,0.677933,0.706159,0.719846,0.688616,0.646511,0.569262,0.638720,0.582462,0.639733,0.757927,0.757016,0.650745,0.649843,0.688045,0.659585,0.590874,0.750084,0.579179,0.664204,12.619883,k10|k11|k17
4,nan,0.681897,0.641773,0.750939,0.737900,0.613833,0.560251,0.633299,0.646459,0.630266,0.661455,0.748927,0.692379,0.728383,0.597256,0.691074,0.713819,0.649316,0.736944,0.623548,0.670512,12.739721,k2|k10|k3
5,nan,0.712253,0.709386,0.695029,0.759833,0.695045,0.597722,0.570554,0.622414,0.635325,0.652378,0.696939,0.723128,0.708327,0.626477,0.692943,0.697211,0.652534,0.741264,0.610594,0.673650,12.799356,k3|k17|k11
6,nan,0.443697,0.308522,0.369728,0.733426,0.459106,0.639630,0.484343,0.552064,0.363509,0.308026,0.308546,0.273561,0.314588,0.385552,0.442301,0.369571,0.362606,0.287993,0.442816,0.413136,7.849585,k3|k5|k7
7,nan,0.695811,0.671545,0.721471,0.692030,0.684410,0.597158,0.661278,0.563472,0.466011,0.684548,0.731687,0.691681,0.651548,0.613105,0.686252,0.675995,0.639484,0.736826,0.595339,0.655771,12.459651,k17|k10|k2
8,nan,0.746053,0.646862,0.652496,0.735990,0.663996,0.575027,0.591376,0.649461,0.644479,0.665679,0.791967,0.702331,0.734780,0.600793,0.697535,0.642696,0.557080,0.699966,0.650226,0.665726,12.648792,k10|k0|k3
9,nan,0.691052,0.694937,0.711601,0.758044,0.705472,0.568856,0.642612,0.674624,0.501378,0.697883,0.706732,0.738976,0.654520,0.678005,0.669961,0.665348,0.614060,0.682029,0.635256,0.667966,12.691347,k3|k11|k2
